"GO.ID","Term","Annotated","Significant","Expected","classicFisher","Enrichment"
"GO:0007155","cell adhesion",1119,4,1.74,"0.0022",0.87
"GO:0045666","positive regulation of neuron differenti...",99,2,0.15,"0.0103",1.38
"GO:0001780","neutrophil homeostasis",20,1,0.03,"0.0307",0.96
"GO:0002701","negative regulation of production of mol...",20,1,0.03,"0.0307",0.96
"GO:0035268","protein mannosylation",20,1,0.03,"0.0307",0.96
"GO:0071880","adenylate cyclase-activating adrenergic ...",22,1,0.03,"0.0338",0.96
"GO:0031643","positive regulation of myelination",22,1,0.03,"0.0338",0.96
"GO:0046639","negative regulation of alpha-beta T cell...",22,1,0.03,"0.0338",0.96
"GO:0007271","synaptic transmission, cholinergic",23,1,0.04,"0.0353",0.94
"GO:0035024","negative regulation of Rho protein signa...",24,1,0.04,"0.0368",0.94
"GO:0070050","neuron cellular homeostasis",24,1,0.04,"0.0368",0.94
"GO:0002828","regulation of type 2 immune response",24,1,0.04,"0.0368",0.94
"GO:0050896","response to stimulus",6045,7,9.42,"0.0370",-0.38
"GO:0045589","regulation of regulatory T cell differen...",25,1,0.04,"0.0383",0.94
"GO:0045622","regulation of T-helper cell differentiat...",25,1,0.04,"0.0383",0.94
"GO:2000515","negative regulation of CD4-positive, alp...",26,1,0.04,"0.0398",0.94
"GO:0032743","positive regulation of interleukin-2 pro...",27,1,0.04,"0.0413",0.94
"GO:0050869","negative regulation of B cell activation",27,1,0.04,"0.0413",0.94
"GO:0031065","positive regulation of histone deacetyla...",27,1,0.04,"0.0413",0.94
"GO:0032469","endoplasmic reticulum calcium ion homeos...",28,1,0.04,"0.0428",0.94
"GO:0061082","myeloid leukocyte cytokine production",29,1,0.05,"0.0443",0.93
"GO:0022010","central nervous system myelination",30,1,0.05,"0.0458",0.93
"GO:0045191","regulation of isotype switching",31,1,0.05,"0.0473",0.93
"GO:0001817","regulation of cytokine production",514,3,0.8,"0.0474",1.15
"GO:0002707","negative regulation of lymphocyte mediat...",32,1,0.05,"0.0487",0.93
"GO:0002823","negative regulation of adaptive immune r...",32,1,0.05,"0.0487",0.93
"GO:1901385","regulation of voltage-gated calcium chan...",32,1,0.05,"0.0487",0.93
"GO:0001953","negative regulation of cell-matrix adhes...",32,1,0.05,"0.0487",0.93
"GO:0090075","relaxation of muscle",33,1,0.05,"0.0502",0.93
"GO:0048821","erythrocyte development",33,1,0.05,"0.0502",0.93
"GO:0030890","positive regulation of B cell proliferat...",33,1,0.05,"0.0502",0.93
"GO:0086004","regulation of cardiac muscle cell contra...",34,1,0.05,"0.0517",0.93
"GO:0045746","negative regulation of Notch signaling p...",37,1,0.06,"0.0562",0.92
"GO:0045910","negative regulation of DNA recombination",37,1,0.06,"0.0562",0.92
"GO:0009615","response to virus",230,2,0.36,"0.0572",1.14
"GO:0010559","regulation of glycoprotein biosynthetic ...",38,1,0.06,"0.0576",0.92
"GO:2000772","regulation of cellular senescence",39,1,0.06,"0.0591",0.92
"GO:0032729","positive regulation of interferon-gamma ...",44,1,0.07,"0.0664",0.9
"GO:0045744","negative regulation of G protein-coupled...",52,1,0.08,"0.0781",0.89
"GO:0006936","muscle contraction",258,2,0.4,"0.0813",1.1
"GO:0006493","protein O-linked glycosylation",55,1,0.09,"0.0824",0.88
"GO:0030593","neutrophil chemotaxis",56,1,0.09,"0.0838",0.88
"GO:0002718","regulation of cytokine production involv...",62,1,0.1,"0.0924",0.86
"GO:0030968","endoplasmic reticulum unfolded protein r...",63,1,0.1,"0.0938",0.86
"GO:0071870","cellular response to catecholamine stimu...",63,1,0.1,"0.0938",0.86
"GO:0042982","amyloid precursor protein metabolic proc...",73,1,0.11,"0.1079",0.85
"GO:0045582","positive regulation of T cell differenti...",74,1,0.12,"0.1093",0.84
"GO:0050852","T cell receptor signaling pathway",84,1,0.13,"0.1232",0.82
"GO:0009408","response to heat",85,1,0.13,"0.1245",0.82
"GO:0071466","cellular response to xenobiotic stimulus",86,1,0.13,"0.1259",0.82
"GO:0007601","visual perception",90,1,0.14,"0.1314",0.81
"GO:0032091","negative regulation of protein binding",91,1,0.14,"0.1327",0.81
"GO:0051897","positive regulation of protein kinase B ...",93,1,0.14,"0.1355",0.81
"GO:0045087","innate immune response",450,2,0.7,"0.1545",0.82
"GO:0030183","B cell differentiation",111,1,0.17,"0.1596",0.77
"GO:0043406","positive regulation of MAP kinase activi...",113,1,0.18,"0.1622",0.76
"GO:0007009","plasma membrane organization",122,1,0.19,"0.1740",0.75
"GO:0045860","positive regulation of protein kinase ac...",301,2,0.47,"0.1750",1.03
"GO:0071222","cellular response to lipopolysaccharide",130,1,0.2,"0.1843",0.74
"GO:0007605","sensory perception of sound",131,1,0.2,"0.1856",0.74
"GO:0016310","phosphorylation",1564,3,2.44,"0.1890",0.22
"GO:0043065","positive regulation of apoptotic process",526,2,0.82,"0.1970",0.72
"GO:0042127","regulation of cell population proliferat...",1364,2,2.13,"0.1999",-0.06
"GO:0006909","phagocytosis",177,1,0.28,"0.2426",0.64
"GO:0030308","negative regulation of cell growth",183,1,0.29,"0.2498",0.63
"GO:0051607","defense response to virus",191,1,0.3,"0.2592",0.62
"GO:0016485","protein processing",191,1,0.3,"0.2592",0.62
"GO:0030036","actin cytoskeleton organization",641,2,1,"0.2639",0.58
"GO:0007399","nervous system development",2188,4,3.41,"0.2688",0.18
"GO:0001818","negative regulation of cytokine producti...",202,1,0.31,"0.2720",0.61
"GO:0005996","monosaccharide metabolic process",220,1,0.34,"0.2924",0.58
"GO:0050727","regulation of inflammatory response",242,1,0.38,"0.3167",0.54
"GO:0044262","cellular carbohydrate metabolic process",246,1,0.38,"0.3210",0.54
"GO:0007186","G protein-coupled receptor signaling pat...",507,2,0.79,"0.3251",0.75
"GO:0016032","viral process",265,1,0.41,"0.3412",0.5
"GO:0051402","neuron apoptotic process",293,1,0.46,"0.3699",0.45
"GO:0043087","regulation of GTPase activity",319,1,0.5,"0.3955",0.42
"GO:0007283","spermatogenesis",376,1,0.59,"0.4482",0.33
"GO:0007169","transmembrane receptor protein tyrosine ...",525,1,0.82,"0.5660",0.14
"GO:0051272","positive regulation of cellular componen...",527,1,0.82,"0.5674",0.14
"GO:0071345","cellular response to cytokine stimulus",555,1,0.87,"0.5866",0.1
"GO:0051241","negative regulation of multicellular org...",877,2,1.37,"0.6067",0.34
"GO:0008285","negative regulation of cell population p...",594,1,0.93,"0.6120",0.05
"GO:0006974","cellular response to DNA damage stimulus",735,1,1.15,"0.6920",-0.1
"GO:0043066","negative regulation of apoptotic process",791,1,1.23,"0.7191",-0.16
"GO:0000122","negative regulation of transcription by ...",795,1,1.24,"0.7210",-0.16
"GO:0032880","regulation of protein localization",833,1,1.3,"0.7380",-0.2
"GO:0016477","cell migration",1296,2,2.02,"0.7887",-0.01
"GO:0048646","anatomical structure formation involved ...",1006,1,1.57,"0.8037",-0.36
"GO:0000902","cell morphogenesis",1040,1,1.62,"0.8146",-0.39
"GO:0006508","proteolysis",1299,2,2.02,"0.8250",-0.01
"GO:0006357","regulation of transcription by RNA polym...",2008,2,3.13,"0.8656",-0.46
"GO:0045893","positive regulation of transcription, DN...",1300,1,2.03,"0.8809",-0.6
"GO:0008104","protein localization",2265,2,3.53,"0.9091",-0.59
"GO:0008150","biological_process",14109,22,21.99,"0.9902",0
"GO:0045596","negative regulation of cell differentiat...",604,1,0.94,"1.0000",0.04
"GO:0008277","regulation of G protein-coupled receptor...",113,1,0.18,"1.0000",0.76
"GO:0045597","positive regulation of cell differentiat...",805,2,1.25,"1.0000",0.42
"GO:0045934","negative regulation of nucleobase-contai...",1277,1,1.99,"1.0000",-0.58
"GO:0045935","positive regulation of nucleobase-contai...",1628,1,2.54,"1.0000",-0.82
"GO:0022008","neurogenesis",1684,3,2.63,"1.0000",0.14
"GO:0098609","cell-cell adhesion",642,1,1,"1.0000",0
"GO:0045937","positive regulation of phosphate metabol...",754,2,1.18,"1.0000",0.46
"GO:0048522","positive regulation of cellular process",4706,5,7.34,"1.0000",-0.48
"GO:0048523","negative regulation of cellular process",4087,2,6.37,"1.0000",-1.3
"GO:0000165","MAPK cascade",649,1,1.01,"1.0000",-0.01
"GO:0071396","cellular response to lipid",385,1,0.6,"1.0000",0.32
"GO:0070252","actin-mediated cell contraction",88,1,0.14,"1.0000",0.81
"GO:0006810","transport",3571,2,5.57,"1.0000",-1.13
"GO:0006811","ion transport",1183,1,1.84,"1.0000",-0.51
"GO:0035556","intracellular signal transduction",2145,2,3.34,"1.0000",-0.53
"GO:0006812","cation transport",905,1,1.41,"1.0000",-0.27
"GO:0006816","calcium ion transport",343,1,0.53,"1.0000",0.39
"GO:0051896","regulation of protein kinase B signaling",141,1,0.22,"1.0000",0.71
"GO:0048513","animal organ development",2750,1,4.29,"1.0000",-1.4
"GO:0016043","cellular component organization",5171,3,8.06,"1.0000",-1.18
"GO:0043393","regulation of protein binding",201,1,0.31,"1.0000",0.61
"GO:0010467","gene expression",4672,4,7.28,"1.0000",-0.73
"GO:0010468","regulation of gene expression",3721,4,5.8,"1.0000",-0.44
"GO:0048518","positive regulation of biological proces...",5029,6,7.84,"1.0000",-0.34
"GO:0048519","negative regulation of biological proces...",4443,2,6.93,"1.0000",-1.4
"GO:0002429","immune response-activating cell surface ...",128,1,0.2,"1.0000",0.74
"GO:0007272","ensheathment of neurons",153,1,0.24,"1.0000",0.69
"GO:0016049","cell growth",478,1,0.75,"1.0000",0.19
"GO:0007275","multicellular organism development",4181,4,6.52,"1.0000",-0.59
"GO:0034654","nucleobase-containing compound biosynthe...",3021,2,4.71,"1.0000",-0.93
"GO:0007276","gamete generation",515,1,0.8,"1.0000",0.15
"GO:0008219","cell death",1805,3,2.81,"1.0000",0.07
"GO:0051674","localization of cell",1423,2,2.22,"1.0000",-0.1
"GO:0002200","somatic diversification of immune recept...",68,1,0.11,"1.0000",0.85
"GO:0006259","DNA metabolic process",881,1,1.37,"1.0000",-0.24
"GO:0046580","negative regulation of Ras protein signa...",53,1,0.08,"1.0000",0.89
"GO:0010243","response to organonitrogen compound",749,1,1.17,"1.0000",-0.12
"GO:2000112","regulation of cellular macromolecule bio...",421,1,0.66,"1.0000",0.27
"GO:0002204","somatic recombination of immunoglobulin ...",43,1,0.07,"1.0000",0.9
"GO:0043170","macromolecule metabolic process",7102,8,11.07,"1.0000",-0.42
"GO:0051100","negative regulation of binding",146,1,0.23,"1.0000",0.7
"GO:0002208","somatic diversification of immunoglobuli...",43,1,0.07,"1.0000",0.9
